timestamp,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
2026/09/13 11:29:15.199, 96, 4253, 8188, 73, 57.79
2026/09/13 11:29:45.264, 96, 4255, 8188, 73, 55.19
2026/09/13 11:30:15.352, 59, 2599, 8188, 72, 44.30
2026/09/13 11:30:45.412, 87, 4235, 8188, 72, 56.39
2026/09/13 11:31:15.476, 97, 4235, 8188, 73, 53.53
2026/09/13 11:31:45.537, 99, 4253, 8188, 74, 52.55
2026/09/13 11:32:15.607, 97, 4253, 8188, 73, 54.25
2026/09/13 11:32:45.660, 76, 4253, 8188, 73, 40.61
2026/09/13 11:33:15.725, 98, 4253, 8188, 74, 54.37
2026/09/13 11:33:45.790, 97, 4255, 8188, 73, 53.52
2026/09/13 11:34:15.873, 96, 4253, 8188, 73, 54.73
2026/09/13 11:34:45.944, 95, 4253, 8188, 73, 54.18
2026/09/13 11:35:15.997, 71, 4253, 8188, 73, 42.14
2026/09/13 11:35:46.062, 80, 4255, 8188, 73, 46.94
2026/09/13 11:36:16.137, 97, 4255, 8188, 73, 53.19
2026/09/13 11:36:46.192, 96, 4267, 8188, 73, 55.02
2026/09/13 11:37:16.248, 96, 4267, 8188, 73, 57.51
2026/09/13 11:37:46.309, 95, 4253, 8188, 73, 55.75
2026/09/13 11:38:16.392, 98, 4255, 8188, 73, 54.30
2026/09/13 11:38:46.458, 95, 4255, 8188, 73, 53.38
2026/09/13 11:39:16.511, 75, 4257, 8188, 73, 52.24
2026/09/13 11:39:46.576, 97, 4257, 8188, 73, 44.72
2026/09/13 11:40:16.642, 98, 4259, 8188, 73, 55.81
2026/09/13 11:40:46.700, 99, 4259, 8188, 73, 48.49
2026/09/13 11:41:16.753, 84, 4259, 8188, 73, 55.25
2026/09/13 11:41:46.818, 74, 4261, 8188, 71, 53.96
2026/09/13 11:42:16.894, 98, 4261, 8188, 73, 54.35
2026/09/13 11:42:46.953, 88, 4253, 8188, 72, 47.37
2026/09/13 11:43:17.012, 97, 4255, 8188, 74, 53.13
2026/09/13 11:43:47.099, 96, 4255, 8188, 73, 57.88
2026/09/13 11:44:17.166, 100, 4269, 8188, 73, 53.00
2026/09/13 11:44:47.231, 94, 4269, 8188, 72, 56.03
2026/09/13 11:45:17.302, 88, 4259, 8188, 73, 48.61
2026/09/13 11:45:47.355, 99, 4259, 8188, 74, 54.56
2026/09/13 11:46:17.411, 95, 4261, 8188, 73, 56.24
2026/09/13 11:46:47.470, 99, 4247, 8188, 73, 57.12
2026/09/13 11:47:17.526, 96, 4247, 8188, 72, 55.45
2026/09/13 11:47:47.600, 97, 4233, 8188, 74, 56.45
2026/09/13 11:48:17.661, 96, 4233, 8188, 73, 51.85
2026/09/13 11:48:47.725, 98, 4315, 8188, 73, 55.08
2026/09/13 11:49:17.785, 98, 4199, 8188, 74, 52.85
2026/09/13 11:49:47.850, 97, 4199, 8188, 74, 56.11
2026/09/13 11:50:17.903, 95, 4257, 8188, 73, 53.27
2026/09/13 11:50:47.980, 97, 4259, 8188, 73, 65.33
2026/09/13 11:51:18.033, 7, 2603, 8188, 70, 36.19
2026/09/13 11:51:48.097, 97, 4261, 8188, 74, 47.58
2026/09/13 11:52:18.151, 99, 4261, 8188, 74, 46.42
2026/09/13 11:52:48.204, 95, 4245, 8188, 73, 55.18
2026/09/13 11:53:18.269, 86, 4247, 8188, 73, 52.82
2026/09/13 11:53:48.334, 98, 4265, 8188, 73, 51.08
2026/09/13 11:54:18.399, 83, 4265, 8188, 72, 52.04
2026/09/13 11:54:48.464, 98, 4265, 8188, 75, 59.21
2026/09/13 11:55:18.514, 96, 4235, 8188, 74, 56.94
2026/09/13 11:55:48.575, 95, 4235, 8188, 73, 58.97
2026/09/13 11:56:18.646, 99, 4265, 8188, 73, 45.24
2026/09/13 11:56:48.723, 74, 4267, 8188, 74, 43.56
2026/09/13 11:57:18.782, 97, 4267, 8188, 73, 51.97
2026/09/13 11:57:48.835, 99, 4241, 8188, 73, 51.41
2026/09/13 11:58:18.900, 92, 4241, 8188, 73, 53.62
2026/09/13 11:58:48.953, 95, 4261, 8188, 73, 54.68
2026/09/13 11:59:19.024, 95, 4261, 8188, 73, 53.06
2026/09/13 11:59:49.074, 97, 4261, 8188, 72, 59.33
2026/09/13 12:00:19.147, 98, 4199, 8188, 74, 50.42
2026/09/13 12:00:49.214, 97, 4201, 8188, 74, 55.08
2026/09/13 12:01:19.283, 98, 4257, 8188, 73, 55.74
2026/09/13 12:01:49.344, 96, 4259, 8188, 74, 54.53
2026/09/13 12:02:19.407, 98, 4259, 8188, 73, 56.13
2026/09/13 12:02:49.478, 96, 4257, 8188, 74, 60.88
2026/09/13 12:03:19.554, 99, 4257, 8188, 73, 54.15
2026/09/13 12:03:49.608, 97, 4233, 8188, 73, 55.76
2026/09/13 12:04:19.669, 75, 4233, 8188, 73, 53.04
2026/09/13 12:04:49.732, 97, 4233, 8188, 73, 54.00
2026/09/13 12:05:19.791, 97, 4233, 8188, 73, 53.44
